Milliseconds,PackVoltx100,Ampsx100,RPM
77100,1229,334,5307
77200,1229,334,5257
77300,1229,325,5302
77400,1229,334,5319
77500,1229,325,5219
77600,1229,334,5060
77700,1229,334,5065
77800,1229,325,5307
77900,1229,316,5076
78000,1229,325,5122
78100,1229,325,5112
78200,1229,334,5050
78300,1229,325,5112
78400,1229,325,5040
78500,1229,325,5279
78600,1229,334,5065
78700,1229,325,5219
78800,1229,325,5128
78900,1229,325,5307
79000,1229,325,5302
79100,1229,325,5263
79200,1229,325,5302
79300,1229,325,5081
79400,1229,316,5050
79500,1229,325,5257
79600,1229,334,5181
79700,1229,325,5324
79800,1229,325,5257
79900,1229,334,5279
80000,1229,334,5307
80100,1229,325,5045
80200,1229,334,5045
80300,1229,334,5263
80400,1229,334,5091
80500,1229,316,5159
80600,1229,325,5291
80700,1229,325,5313
80800,1229,325,5279
80900,1229,325,5040
81000,1229,316,5102
81100,1229,325,5296
81200,1229,325,5133
81300,1229,325,5279
81400,1229,316,5296
81500,1229,325,5086
81600,1229,325,5045
81700,1229,325,5268
81800,1229,325,5307
81900,1229,325,5307
82000,1229,325,5186
82100,1229,325,5050
82200,1229,325,5252
82300,1229,316,5165
82400,1229,334,5040
82500,1229,325,5091
82600,1229,325,5128
82700,1229,325,5319
82800,1229,334,5302
82900,1229,325,5070
83000,1229,325,5149
83100,1229,325,5040
83200,1229,325,5296
83300,1229,325,5107
83400,1229,325,5086
83500,1229,325,5279
83600,1229,325,5279
83700,1229,334,5313
83800,1229,325,5313
83900,1229,334,5096
84000,1229,325,5055
84100,1229,316,5091
84200,1226,316,5313
84300,1226,325,5263
84400,1229,325,5296
84500,1229,334,5268
84600,1229,316,5076
84700,1229,316,5070
84800,1229,334,5285
84900,1226,325,5313
85000,1229,325,5268
85100,1229,325,5070
85200,1229,325,5081
85300,1229,325,5319
85400,1229,316,5285
85500,1229,334,5307
85600,1229,334,5065
85700,1229,325,5081
85800,1229,334,5268
85900,1229,334,5296
86000,1229,325,5246
86100,1229,334,5268
86200,1226,325,5060
86300,1229,325,5285
86400,1229,325,5330
86500,1226,325,5149
86600,1226,325,5307
86700,1226,334,5319
86800,1226,334,5192
86900,1226,316,5324
87000,1229,325,5091
87100,1229,334,5330
87200,1229,334,5235
87300,1229,334,5045
87400,1226,334,5055
87500,1226,325,5081
87600,1229,325,5065
87700,1226,325,5307
87800,1226,325,5224
87900,1226,325,5279
